Restricted API,Highly-Correlation API,Sensitive Operation API,Union
android.telephony.SubscriptionManager getActiveSubscriptionInfoForSimSlotIndex,android.telephony.cdma.CdmaCellLocation getBaseStationId,,android.database.sqlite.SQLiteDatabase isOpen
android.net.sip.SipManager takeAudioCall,android.net.SSLCertificateSocketFactory getHttpSocketFactory,,android.database.sqlite.SQLiteDatabase query
android.location.LocationManager requestSingleUpdate,java.util.jar.JarFile close,,android.database.sqlite.SQLiteDatabase rawQuery
android.telephony.SubscriptionManager getActiveSubscriptionInfoCount,java.net.URL getDefaultPort,,android.database.sqlite.SQLiteDatabase update
android.telephony.SmsManager sendTextMessage,java.security.spec.RSAPrivateKeySpec RSAPrivateKeySpec,,android.database.sqlite.SQLiteDatabase updateWithOnConflict
android.net.sip.SipManager makeAudioCall,org.apache.http.params.HttpParams setIntParameter,,android.database.sqlite.SQLiteOpenHelper SQLiteOpenHelper
android.provider.Browser clearHistory,java.util.concurrent.ThreadPoolExecutor getActiveCount,,android.graphics.drawable.NinePatchDrawable NinePatchDrawable
android.net.sip.SipManager setRegistrationListener,javax.net.ssl.HttpsURLConnection setDefaultHostnameVerifier,,android.graphics.NinePatch isNinePatchChunk
android.accounts.AccountManager getAccountsByTypeAndFeatures,java.lang.ProcessBuilder redirectErrorStream,,android.hardware.Camera open
android.telephony.SmsManager sendMultimediaMessage,android.telephony.SmsManager divideMessage,,android.hardware.Sensor getName
android.speech.SpeechRecognizer setRecognitionListener,java.util.zip.Adler32 Adler32,,android.hardware.Sensor getVendor
android.provider.ContactsContract get,java.util.Properties store,,android.hardware.Sensor getVersion
android.provider.VoicemailContract buildSourceUri,java.util.zip.GZIPOutputStream flush,,android.inputmethodservice.KeyboardView swipeDown
android.telephony.SubscriptionManager getActiveSubscriptionInfoList,java.net.URLConnection setDoInput,,android.inputmethodservice.KeyboardView swipeRight
android.speech.SpeechRecognizer startListening,android.bluetooth.BluetoothAdapter getAddress,,android.location.LocationManager addGpsStatusListener
android.widget.QuickContactBadge onClick,java.security.cert.CertificateException printStackTrace,,android.location.LocationManager addNmeaListener
android.net.sip.SipManager isRegistered,android.content.Context fileList,,android.location.LocationManager addProximityAlert
android.provider.Contacts createPersonInMyContactsGroup,android.app.AlertDialog AlertDialog,,android.location.LocationManager getBestProvider
android.telephony.gsm.SmsManager sendDataMessage,java.nio.charset.CoderResult isOverflow,,android.location.LocationManager getLastKnownLocation
android.accounts.AccountManager getAccountsByType,java.util.zip.Deflater finished,,android.location.LocationManager getProvider
android.provider.Contacts addToMyContactsGroup,javax.crypto.SecretKeyFactory generateSecret,,android.location.LocationManager getProviders
android.location.LocationManager getProviders,javax.crypto.SecretKeyFactory getInstance,,android.location.LocationManager isProviderEnabled
android.provider.CallLog getLastOutgoingCall,java.net.URLClassLoader URLClassLoader,,android.location.LocationManager requestLocationUpdates
android.accounts.AccountManager confirmCredentials,android.webkit.WebSettings setDefaultZoom,,android.location.LocationManager requestSingleUpdate
android.accounts.AccountManager getAuthTokenByFeatures,java.io.Reader markSupported,,android.location.LocationManager sendExtraCommand
android.telecom.TelecomManager showInCallScreen,android.telephony.SmsMessage getDisplayOriginatingAddress,,android.location.LocationManager setTestProviderEnabled
android.telephony.TelephonyManager getSimSerialNumber,java.lang.Runtime exec,,android.media.AudioRecord AudioRecord
android.view.inputmethod.InputMethodManager showInputMethodAndSubtypeEnabler,android.app.Application Application,,android.media.MediaRecorder setAudioSource
android.widget.QuickContactBadge assignContactFromPhone,javax.crypto.Mac getAlgorithm,,android.media.MediaRecorder setVideoSource
android.provider.ContactsContract getWithUri,android.app.Service onStartCommand,,android.net.ConnectivityManager startUsingNetworkFeature
android.inputmethodservice.KeyboardView swipeRight,java.lang.ClassLoader getParent,,android.net.NetworkInfo getExtraInfo
android.media.AudioRecord AudioRecord,android.telephony.gsm.SmsManager divideMessage,,android.net.NetworkInfo isAvailable
android.provider.Contacts addToGroup,android.widget.Button setLeft,,android.net.Proxy getDefaultHost
android.telephony.TelephonyManager getLine1Number,android.telephony.gsm.SmsManager sendTextMessage,,android.net.Proxy getDefaultPort
android.provider.ContactsContract getLookupUri,android.telephony.gsm.SmsManager getDefault,,android.net.sip.SipManager close
android.app.DownloadManager addCompletedDownload,android.telephony.SignalStrength getEvdoDbm,,android.net.sip.SipManager createSipSession
android.provider.Contacts addPostalLocation,java.lang.Character toTitleCase,,android.net.sip.SipManager getSessionFor
android.telephony.SmsManager sendDataMessage,android.text.format.Time set,,android.net.sip.SipManager isOpened
android.location.LocationManager getLastKnownLocation,android.webkit.WebView saveWebArchive,,android.net.sip.SipManager isRegistered
,android.app.Dialog setOnKeyListener,,android.net.sip.SipManager makeAudioCall
,java.util.SortedMap putAll,,android.net.sip.SipManager open
,java.security.SecureRandom setSeed,,android.net.sip.SipManager register
,android.net.wifi.WifiManager disableNetwork,,android.net.sip.SipManager setRegistrationListener
,android.telephony.SmsMessage getDisplayMessageBody,,android.net.sip.SipManager takeAudioCall
,java.net.NetworkInterface getByName,,android.net.sip.SipManager unregister
,java.math.BigInteger divideAndRemainder,,android.net.SSLCertificateSocketFactory getHttpSocketFactory
,android.net.wifi.WifiManager disconnect,,android.net.wifi.WifiManager disableNetwork
,android.app.Dialog dispatchKeyEvent,,android.net.wifi.WifiManager disconnect
,java.lang.StringBuffer ensureCapacity,,android.net.wifi.WifiManager enableNetwork
,java.util.SortedSet addAll,,android.net.wifi.WifiManager getConfiguredNetworks
,org.apache.http.conn.ConnectTimeoutException printStackTrace,,android.net.wifi.WifiManager isWifiEnabled
,java.lang.Process getInputStream,,android.net.wifi.WifiManager saveConfiguration
,javax.crypto.CipherOutputStream flush,,android.net.wifi.WifiManager setWifiEnabled
,javax.crypto.CipherOutputStream write,,android.net.wifi.WifiManager updateNetwork
,android.telephony.gsm.GsmCellLocation getLac,,android.os.Bundle getClassLoader
,android.telephony.gsm.GsmCellLocation getCid,,android.os.Environment getDataDirectory
,android.telephony.TelephonyManager getCellLocation,,android.os.Environment getDownloadCacheDirectory
,javax.crypto.CipherOutputStream close,,android.os.Environment getExternalStorageDirectory
,android.webkit.WebView removeJavascriptInterface,,android.os.Environment getExternalStoragePublicDirectory
,android.net.wifi.WifiManager enableNetwork,,android.os.Environment getRootDirectory
,android.widget.EditText setFocusableInTouchMode,,android.os.HandlerThread isAlive
,java.io.FileReader read,,android.os.PowerManager newWakeLock
,java.io.FileNotFoundException toString,,android.os.storage.StorageManager getPrimaryStorageVolume
,android.telephony.cdma.CdmaCellLocation getBaseStationLatitude,,android.os.storage.StorageManager getStorageVolumes
,android.telephony.cdma.CdmaCellLocation getBaseStationLongitude,,android.provider.Browser addSearchUrl
,android.text.Editable toString,,android.provider.Browser clearHistory
,android.net.wifi.WifiManager isWifiEnabled,,android.provider.Browser clearSearches
,android.app.Service onStart,,android.provider.Browser deleteFromHistory
,android.webkit.WebView getVisibility,,android.provider.Browser deleteHistoryTimeFrame
,java.net.SocketException printStackTrace,,android.provider.Browser truncateHistory
,org.w3c.dom.Element getElementsByTagName,,android.provider.Browser updateVisitedHistory
,android.widget.EditText getContext,,android.provider.CalendarContract insert
,android.webkit.WebView setTag,,android.provider.CalendarContract query
,java.lang.ProcessBuilder start,,android.provider.CallLog getLastOutgoingCall
,java.lang.ProcessBuilder ProcessBuilder,,android.provider.Contacts addPostalLocation
,android.text.format.Time toMillis,,android.provider.Contacts addToGroup
,java.text.SimpleDateFormat applyPattern,,android.provider.Contacts addToMyContactsGroup
,android.app.Service onLowMemory,,android.provider.Contacts createPersonInMyContactsGroup
,android.widget.LinearLayout setMinimumWidth,,android.provider.Contacts getSetting
,android.app.Application attachBaseContext,,android.provider.Contacts markAsContacted
,java.lang.Character Character,,android.provider.Contacts queryGroups
,javax.crypto.Cipher getBlockSize,,android.provider.Contacts setSetting
,android.telephony.SignalStrength isGsm,,android.provider.ContactsContract get
,java.net.NetworkInterface getInetAddresses,,android.provider.ContactsContract getContactLookupUri
,android.telephony.PhoneStateListener onSignalStrengthsChanged,,android.provider.ContactsContract getLookupUri
,android.net.NetworkInfo isAvailable,,android.provider.ContactsContract getWithUri
,java.util.WeakHashMap size,,android.provider.ContactsContract markAsContacted
,java.util.jar.JarFile JarFile,,android.provider.ContactsContract newSetOperation
,android.telephony.SignalStrength getGsmSignalStrength,,android.provider.ContactsContract notifyDirectoryChange
,java.security.DigestInputStream getMessageDigest,,android.provider.ContactsContract set
,android.database.sqlite.SQLiteDatabase isOpen,,android.provider.VoicemailContract buildSourceUri
,java.util.Hashtable keys,,android.speech.SpeechRecognizer cancel
,android.content.pm.PackageManager getPackageArchiveInfo,,android.speech.SpeechRecognizer setRecognitionListener
,android.telephony.SignalStrength getCdmaDbm,,android.speech.SpeechRecognizer startListening
,android.widget.Toast cancel,,android.speech.SpeechRecognizer stopListening
,java.nio.charset.IllegalCharsetNameException IllegalCharsetNameException,,android.telecom.TelecomManager isInCall
,java.nio.channels.FileChannel lock,,android.telecom.TelecomManager showInCallScreen
,java.lang.NumberFormatException printStackTrace,,android.telephony.cdma.CdmaCellLocation getBaseStationId
,java.nio.channels.FileLock release,,android.telephony.cdma.CdmaCellLocation getBaseStationLatitude
,java.lang.Float Float,,android.telephony.cdma.CdmaCellLocation getBaseStationLongitude
,java.io.OutputStreamWriter flush,,android.telephony.cdma.CdmaCellLocation getNetworkId
,java.net.SocketTimeoutException printStackTrace,,android.telephony.cdma.CdmaCellLocation getSystemId
,java.security.DigestInputStream read,,android.telephony.gsm.GsmCellLocation getCid
,java.lang.StringBuffer substring,,android.telephony.gsm.GsmCellLocation getLac
,android.net.wifi.WifiManager updateNetwork,,android.telephony.gsm.SmsManager divideMessage
,android.telephony.TelephonyManager getSimState,,android.telephony.gsm.SmsManager getDefault
,android.util.Base64 encode,,android.telephony.gsm.SmsManager sendDataMessage
,android.app.Service onConfigurationChanged,,android.telephony.gsm.SmsManager sendMultipartTextMessage
,java.io.StringReader close,,android.telephony.gsm.SmsManager sendTextMessage
,android.webkit.CookieManager removeAllCookie,,android.telephony.PhoneNumberUtils isVoiceMailNumber
,android.widget.EditText setFocusable,,android.telephony.PhoneStateListener onSignalStrengthsChanged
,java.util.SortedSet iterator,,android.telephony.SignalStrength getCdmaDbm
,java.nio.charset.CoderResult isError,,android.telephony.SignalStrength getCdmaEcio
,android.telephony.cdma.CdmaCellLocation getSystemId,,android.telephony.SignalStrength getEvdoDbm
,java.io.BufferedWriter close,,android.telephony.SignalStrength getEvdoSnr
,javax.crypto.KeyGenerator init,,android.telephony.SignalStrength getGsmSignalStrength
,android.hardware.Sensor getVersion,,android.telephony.SignalStrength isGsm
,java.util.zip.Deflater Deflater,,android.telephony.SmsManager divideMessage
